ticker,opt_type,entry_date,expiry_date,strike,contract,source,entry_time,entry_price,target_price,exit_price,filled,cost_dollars,pnl_dollars,profitable
AAPL,C,2025-07-10,2025-07-11,212.5,AAPL250711C00212500,REAL,3:58 PM,1.01,3.03,0.01,False,101.0,-100.0,False
AAPL,C,2025-07-17,2025-07-18,212.5,AAPL250718C00212500,REAL,3:58 PM,0.31,0.93,0.02,False,31.0,-29.0,False
AAPL,C,2025-07-24,2025-07-25,215.0,AAPL250725C00215000,REAL,3:58 PM,0.68,2.04,0.01,False,68.0,-67.0,False
AAPL,C,2025-07-31,2025-08-01,210.0,AAPL250801C00210000,REAL,3:58 PM,3.5,10.5,0.01,False,350.0,-349.0,False
AAPL,C,2025-08-07,2025-08-08,222.5,AAPL250808C00222500,REAL,3:58 PM,0.54,1.62,1.62,True,54.0,108.0,True
AAPL,C,2025-08-14,2025-08-15,235.0,AAPL250815C00235000,REAL,3:58 PM,0.57,1.71,0.01,False,57.0,-56.0,False
AAPL,C,2025-08-21,2025-08-22,225.0,AAPL250822C00225000,REAL,3:58 PM,1.59,4.77,2.74,False,159.0,115.0,True
AAPL,C,2025-08-28,2025-08-29,235.0,AAPL250829C00235000,REAL,3:58 PM,0.72,2.16,0.03,False,72.0,-69.0,False
AAPL,C,2025-09-04,2025-09-05,240.0,AAPL250905C00240000,REAL,3:58 PM,1.16,3.48,0.01,False,116.0,-115.0,False
AAPL,C,2025-09-11,2025-09-12,230.0,AAPL250912C00230000,REAL,3:58 PM,1.28,3.84,3.84,True,128.0,256.0,True
AAPL,C,2025-09-18,2025-09-19,240.0,AAPL250919C00240000,REAL,3:58 PM,0.56,1.68,1.68,True,56.0,112.0,True
AAPL,C,2025-09-25,2025-09-26,257.5,AAPL250926C00257500,REAL,3:58 PM,1.19,3.57,0.01,False,119.0,-118.0,False
AAPL,C,2025-10-02,2025-10-03,257.5,AAPL251003C00257500,REAL,3:58 PM,1.29,3.87,0.24,False,129.0,-105.0,False
AAPL,C,2025-10-16,2025-10-17,247.5,AAPL251017C00247500,REAL,3:58 PM,1.65,4.95,4.95,True,165.0,330.0,True
AAPL,C,2025-10-23,2025-10-24,260.0,AAPL251024C00260000,REAL,3:58 PM,1.14,3.42,3.42,True,114.0,228.0,True
